7903	1
7905	2
7916	2
7917	1
7924	1
7927	1
7928	6
7930	1
7934	2
7935	2
7937	1
7939	1
7945	1
7946	1
7950	1
7951	1
7952	1
7954	1
7955	1
7966	1
7983	3
7994	1
7997	1
8011	3
8012	1
8015	2
8020	8
8023	1
8024	1
8025	3
8028	1
8036	1
8042	1
8055	1
8058	1
8061	1
8062	2
8063	1
8081	2
8083	1
8084	3
8085	1
8097	1
8099	1
8100	2
8101	1
8102	1
8105	1
8106	2
8108	1
8113	1
8115	1
8116	1
8117	1
8119	2
8120	1
8139	1
8144	1
8154	1
8155	1
8161	1
8162	2
8164	1
8173	3
8179	2
8196	2
8203	1
8204	1
8211	3
8212	3
8216	1
8217	2
8218	2
8219	1
8220	1
8235	3
8247	1
8260	2
8266	1
8284	1
8315	2
8318	1
8320	2
8321	1
8328	1
8331	1
8333	1
8344	2
8363	1
8392	2
8395	1
8398	1
8418	1
8433	1
8436	1
8438	2
8457	1
8473	1
8480	1
8482	1
8487	1
8500	1
8504	1
8509	1
8510	1
8511	1
8518	1
8520	1
8531	1
8532	3
8533	1
8536	1
8539	1
8542	2
8543	1
8545	1
8546	1
8547	1
8552	3
8555	1
8562	1
8570	1
8572	1
8588	2
8596	1
8600	2
8605	2
8612	1
8617	1
8618	1
8626	1
8633	1
8636	1
8638	1
8640	2
8641	3
8648	1
8656	1
8659	1
8670	2
8676	1
8680	1
8688	1
8723	1
8724	1
8733	1
8764	1
8770	1
8780	1
8782	2
8783	1
8787	1
8789	2
8790	1
8794	1
8796	1
8797	2
8798	2
8801	2
8806	1
8841	1
8842	1
8846	1
8852	1
8861	1
8874	2
8879	1
8880	1
8886	1
8897	1
8904	2
8907	3
8911	3
8912	1
8913	2
8914	1
8917	1
8918	1
8923	1
8925	1
8927	1
8929	1
8930	1
8931	3
8932	2
8936	1
8938	1
8944	2
8956	2
8957	3
8964	3
8965	1
8976	3
8982	1
8997	1
9005	2
9009	2
9011	1
9018	1
9019	2
9029	2
9036	1
9077	1
9091	3
9094	1
9097	1
9106	2
9109	1
9120	1
9122	1
9123	2
9128	1
9135	2
9138	1
9147	5
9148	1
9151	2
9156	1
9158	1
9176	1
9177	2
9180	1
9196	1
9200	1
9203	2
9217	3
9220	1
9222	1
9229	4
9233	2
9238	2
9239	1
9240	1
9256	1
9263	1
9265	4
9266	2
9267	1
9268	2
9281	1
9288	11
9301	1
9336	1
9338	2
9341	2
9349	1
9363	1
9365	1
9367	2
9407	1
9415	1
9426	1
9439	1
9447	1
9451	2
9459	2
9461	1
9462	1
9476	3
9478	1
9488	1
9495	1
9513	1
9517	1
9523	2
9528	1
9548	1
9551	2
9558	1
9560	2
9571	1
9580	2
9581	1
9583	4
9590	1
9593	1
9601	1
9603	1
9607	1
9627	1
9632	2
9635	1
9637	2
9646	1
9651	1
9653	1
9663	1
9665	1
9683	1
9691	1
9693	1
9697	1
9737	1
9742	1
9749	1
9780	1
9796	1
9810	1
9812	1
9814	1
9817	1
9832	1
9842	1
9850	1
9853	1
9861	1
9862	1
9863	2
9864	1
9879	2
9889	1
9905	3
9913	1
9922	1
9927	3
9928	1
9929	1
9947	1
9950	1
9951	3
9959	1
9960	2
9961	1
9965	1
9987	1
9992	1
10005	2
10011	3
10026	2
10049	1
10065	1
10066	1
10123	1
10128	2
10129	1
10142	1
10143	2
10144	1
10152	1
10156	6
10157	1
10159	2
10183	2
10185	1
10186	1
10191	1
10208	1
10209	1
10216	1
10217	3
10223	1
10229	1
10233	3
10235	1
10245	1
10248	4
10249	1
10251	1
10256	1
10261	7
10268	1
10276	1
10285	2
10286	1
10292	1
10321	1
10323	3
10334	3
10345	1
10348	1
10352	1
10357	3
10358	3
10373	1
10389	2
10394	2
10395	1
10410	1
10419	1
10442	1
10445	1
10448	1
10449	1
10451	1
10454	1
10458	1
10471	1
10477	1
10503	1
10527	1
10530	1
10537	1
10538	1
10542	1
10543	1
10544	1
10549	1
10553	1
10554	1
10559	1
10562	1
10585	1
10592	1
10594	1
10595	1
10599	1
10601	1
10635	2
10638	1
10640	1
10641	1
10642	1
10645	1
10651	1
10655	1
10657	1
10658	1
10672	1
10682	1
10689	1
10695	1
10697	1
10703	1
10717	1
10721	1
10722	2
10730	4
10746	2
10747	12
10748	2
10752	3
10763	2
10773	1
10785	1
10787	1
10792	1
10794	1
10821	2
10822	4
10823	1
10826	4
10828	1
10830	1
10835	2
10836	1
10838	3
10843	1
10851	2
10853	4
10854	1
10857	1
10865	1
10871	1
10884	2
10893	1
10901	3
10905	1
10950	1
10958	5
10959	1
10960	1
10975	1
10993	2
11006	1
11011	1
11015	2
11019	1
11031	2
11032	1
11036	1
11042	1
11052	1
11054	2
11056	1
11079	1
11088	1
11094	1
11097	1
11103	3
11104	1
11105	1
11108	3
11112	3
11118	1
11119	1
11127	1
11129	2
11130	1
11132	1
11133	4
11136	5
11147	1
11153	1
11159	1
11160	1
11161	1
11162	2
11166	1
11168	2
11172	1
11176	1
11178	2
11179	1
11181	2
11185	1
11191	2
11197	2
11201	2
11203	1
4	2
6	1
7	1
11	1
15	2
25	3
28	2
29	1
52	2
73	1
75	1
79	1
81	2
84	1
88	1
93	1
100	1
102	1
117	1
122	2
124	1
142	1
148	1
178	2
202	1
218	1
222	1
230	2
231	2
262	1
267	1
276	1
279	1
286	1
305	1
312	2
316	1
319	1
326	2
334	2
341	1
344	1
361	1
370	1
387	1
390	1
395	1
396	2
408	1
434	1
441	1
458	1
484	1
490	1
514	7
516	1
522	1
528	1
529	1
535	1
551	1
557	1
565	1
568	1
580	1
584	2
586	1
590	1
598	3
599	1
600	3
602	1
608	3
612	1
616	2
617	2
623	3
626	2
627	1
634	1
635	1
640	1
641	1
643	1
650	2
651	1
655	1
657	2
659	3
667	1
670	1
678	3
679	1
681	2
684	2
691	1
694	3
697	1
699	1
714	1
726	2
736	3
740	1
743	1
751	2
754	1
756	1
765	1
771	2
772	2
773	1
778	3
786	2
794	1
795	3
827	1
836	1
842	1
853	1
873	1
887	2
888	1
891	2
914	1
922	1
963	3
969	1
976	1
979	1
988	1
989	1
991	1
992	3
994	1
997	1
1001	4
1002	1
1003	1
1005	2
1007	1
1009	2
1012	1
1013	2
1014	1
1016	1
1017	2
1019	1
1020	2
1023	4
1027	2
1029	1
1032	3
1038	1
1040	6
1042	1
1043	3
1044	5
1045	1
1047	1
1048	2
1049	3
1052	1
1053	1
1057	2
1059	3
1081	1
1082	1
1083	1
1098	2
1112	1
1117	2
1124	1
1127	1
1129	3
1131	1
1135	1
1143	1
1147	1
1167	1
1170	1
1175	2
1182	1
1202	3
1208	1
1212	1
1215	1
1243	1
1244	1
1254	2
1257	1
1261	2
1264	1
1302	2
1305	1
1319	2
1321	2
1328	1
1331	1
1344	1
1345	1
1347	1
1350	1
1355	1
1376	1
1379	1
1392	2
1396	2
1410	2
1413	1
1417	1
1419	1
1464	1
1467	1
1482	2
1484	1
1507	1
1508	1
1516	2
1519	1
1549	1
1560	1
1570	1
1574	1
1577	2
1578	1
1598	2
1600	1
1601	1
1619	1
1639	1
1642	2
1655	1
1705	1
1710	2
1716	2
1731	1
1741	2
1746	2
1752	2
1753	1
1756	1
1766	1
1773	1
1775	3
1777	1
1779	2
1782	1
1784	1
1787	1
1789	1
1790	1
1817	1
1818	1
1820	1
1821	2
1826	1
1827	1
1828	1
1841	2
1842	1
1843	2
1845	1
1853	1
1856	1
1862	3
1869	1
1870	1
1876	3
1881	1
1886	1
1889	1
1894	1
1898	1
1900	1
1906	2
1907	1
1908	2
1911	1
1932	2
1937	2
1939	1
1943	1
1946	1
1947	6
1953	2
1960	1
1963	1
1973	3
1976	1
1981	1
1982	2
1986	1
1987	2
2002	2
2009	1
2035	1
2036	1
2038	1
2041	1
2047	2
2056	2
2062	1
2071	1
2079	2
2088	1
2089	2
2112	1
2116	1
2119	1
2120	1
2136	1
2143	1
2161	1
2163	2
2164	1
2165	2
2174	1
2183	1
2208	1
2214	1
2259	1
2271	1
2273	2
2278	2
2300	1
2311	1
2327	2
2351	1
2353	1
2358	2
2363	1
2368	1
2386	2
2387	2
2390	1
2391	1
2392	1
2397	2
2406	1
2421	1
2422	1
2426	1
2428	1
2429	3
2432	1
2456	1
2460	2
2467	1
2469	1
2477	1
2480	1
2483	2
2488	1
2493	1
2511	1
2516	1
2525	1
2541	2
2544	1
2552	1
2556	2
2564	1
2570	2
2574	2
2575	1
2578	1
2580	2
2585	2
2588	3
2589	1
2590	2
2591	1
2600	1
2614	2
2622	3
2629	2
2637	1
2638	1
2639	1
2640	1
2647	1
2651	1
2652	2
2672	1
2675	1
2681	2
2684	1
2692	1
2699	2
2738	1
2741	1
2746	1
2747	1
2749	1
2754	1
2767	1
2774	1
2799	1
2802	3
2811	2
2813	1
2815	1
2819	1
2824	1
2825	1
2827	1
2830	2
2834	2
2835	2
2836	1
2838	1
2851	1
2862	1
2868	1
2877	1
2880	1
2884	1
2887	1
2959	2
2972	1
2974	1
2976	1
2977	1
2984	1
2986	1
2988	2
2991	1
2995	1
2999	1
3000	1
3014	1
3016	1
3018	1
3019	1
3029	1
3030	3
3036	1
3046	2
3050	2
3052	1
3054	1
3055	1
3057	1
3065	1
3066	1
3074	1
3075	1
3102	1
3104	1
3121	1
3129	1
3133	1
3134	1
3144	1
3150	1
3154	1
3167	3
3173	1
3175	2
3185	1
3191	1
3192	1
3202	2
3209	1
3210	2
3211	2
3225	1
3234	1
3235	1
3236	1
3238	1
3239	1
3250	1
3252	1
3255	1
3262	1
3278	1
3291	1
3296	1
3297	2
3303	1
3305	1
3310	1
3312	1
3326	1
3329	1
3343	6
3349	1
3369	1
3375	1
3384	1
3390	1
3423	1
3424	1
3425	1
3427	1
3432	2
3433	1
3434	1
3435	2
3438	1
3440	1
3442	1
3450	1
3459	2
3462	1
3463	5
3464	1
3467	1
3470	3
3479	2
3495	2
3498	2
3500	1
3511	1
3514	1
3517	2
3531	1
3537	1
3540	1
3548	1
3549	3
3553	1
3564	1
3566	1
3580	1
3581	1
3583	1
3596	1
3597	1
3598	1
3599	1
3608	1
3618	1
3621	1
3635	2
3643	1
3645	1
3653	1
3654	1
3657	3
3661	1
3663	1
3665	2
3666	5
3675	1
3683	2
3712	1
3719	1
3731	1
3741	1
3744	1
3754	1
3756	2
3768	1
3772	1
3773	1
3780	1
3809	1
3847	1
3850	1
3854	3
3858	2
3861	1
3863	1
3867	1
3869	1
3872	2
3880	1
3892	1
3901	1
3913	1
3947	1
3954	1
3972	2
3976	1
3980	1
3984	1
3990	2
3991	1
3993	1
3999	4
4018	1
4035	1
4046	1
4052	1
4073	1
4081	2
4082	1
4091	1
4101	1
4106	1
4107	1
4143	2
4148	2
4152	1
4162	1
4172	1
4187	1
4194	1
4196	2
4197	1
4211	4
4212	1
4213	1
4218	1
4224	1
4226	1
4233	2
4234	1
4238	3
4246	1
4251	1
4255	1
4257	2
4273	2
4280	2
4285	1
4294	1
4295	1
4310	1
4311	1
4325	2
4326	1
4327	1
4328	6
4332	3
4338	1
4348	1
4352	1
4356	1
4365	1
4373	1
4391	1
4393	2
4405	1
4410	1
4422	2
4439	1
4440	2
4443	2
4444	1
4447	1
4463	1
4465	2
4481	1
4495	1
4499	3
4503	1
4514	1
4516	2
4548	1
4556	1
4570	2
4574	1
4580	2
4582	1
4592	1
4597	2
4598	3
4600	2
4612	2
4614	1
4621	1
4627	1
4628	2
4630	1
4640	2
4662	2
4664	2
4669	1
4672	1
4683	2
4685	1
4692	1
4703	1
4707	1
4710	1
4712	1
4732	2
4794	1
4797	1
4807	1
4809	1
4811	1
4820	1
4837	1
4839	1
4856	1
4860	3
4869	2
4879	1
4884	1
4893	1
4903	1
4905	1
4917	1
4920	1
4923	4
4926	1
4931	1
4933	1
4935	1
4938	1
4945	1
4960	1
4962	2
4973	2
4979	1
4982	1
4996	2
4998	1
5001	1
5003	1
5007	1
5013	2
5018	1
5021	1
5037	1
5041	1
5042	1
5049	1
5063	1
5066	2
5073	2
5078	2
5082	2
5091	1
5123	1
5132	1
5138	1
5141	1
5152	1
5161	2
5163	1
5174	1
5178	2
5183	1
5188	1
5210	1
5213	1
5226	1
5228	7
5245	2
5282	2
5285	1
5292	1
5295	2
5302	1
5303	1
5308	1
5309	1
5314	1
5318	1
5322	1
5324	3
5351	6
5372	1
5375	1
5386	1
5392	2
5394	1
5421	4
5429	1
5439	3
5442	1
5463	1
5465	1
5474	1
5477	1
5478	1
5481	1
5502	4
5503	1
5506	2
5566	1
5568	1
5580	1
5583	2
5585	2
5587	1
5591	2
5592	2
5604	1
5608	1
5609	1
5616	1
5620	4
5630	2
5634	1
5637	1
5647	1
5648	2
5672	1
5674	1
5680	2
5690	1
5693	1
5706	1
5724	4
5729	1
5764	4
5765	1
5770	1
5800	1
5801	1
5809	1
5823	1
5830	3
5844	1
5850	1
5872	2
5883	1
5888	1
5889	2
5895	1
5902	1
5906	1
5913	1
5914	1
5924	1
5926	2
5928	1
5930	1
5932	2
5934	1
5941	1
5945	2
5946	1
5951	1
5954	1
5971	1
5974	1
5975	1
5984	2
5985	1
5996	1
5997	1
6003	3
6008	1
6010	1
6012	1
6020	1
6035	1
6037	1
6049	1
6062	2
6071	1
6072	2
6079	1
6083	1
6084	6
6095	1
6099	1
6108	1
6124	1
6125	1
6126	1
6137	1
6161	2
6186	1
6190	1
6191	2
6204	1
6210	1
6212	1
6218	2
6219	1
6228	1
6230	1
6232	1
6244	2
6245	1
6252	2
6254	2
6259	3
6264	2
6265	1
6267	1
6273	1
6278	5
6280	1
6284	2
6285	1
6307	2
6314	1
6318	2
6327	1
6329	1
6331	1
6332	2
6335	1
6347	1
6348	3
6349	2
6352	4
6366	1
6371	2
6378	1
6387	3
6393	1
6422	1
6427	1
6428	2
6429	4
6430	1
6441	1
6443	1
6464	1
6470	1
6471	2
6480	1
6516	1
6518	1
6522	2
6529	1
6534	1
6535	1
6538	1
6540	2
6545	2
6551	1
6552	1
6563	1
6587	1
6599	1
6605	3
6608	1
6609	1
6613	1
6622	1
6623	1
6626	1
6631	1
6656	1
6662	3
6666	2
6676	1
6678	1
6682	2
6690	1
6698	1
6704	1
6706	1
6722	1
6726	1
6728	1
6743	1
6744	1
6756	1
6773	2
6774	1
6790	1
6800	1
6805	3
6807	3
6809	1
6810	1
6811	1
6813	3
6828	3
6830	1
6833	4
6834	2
6836	1
6841	2
6845	2
6857	1
6869	1
6872	1
6883	1
6886	1
6889	1
6906	1
6914	1
6920	1
6926	2
6928	1
6940	1
6954	1
6962	1
6963	1
6966	1
6971	4
6978	1
6979	4
6988	1
6994	1
6996	2
6997	1
6998	1
7004	4
7005	1
7006	1
7009	1
7012	1
7014	2
7020	1
7021	1
7027	1
7029	1
7037	1
7041	1
7043	1
7050	1
7052	1
7062	1
7070	2
7073	1
7080	1
7081	3
7090	1
7093	1
7097	1
7105	2
7115	1
7118	1
7133	2
7146	1
7150	2
7159	1
7174	1
7175	1
7184	1
7190	1
7193	1
7195	2
7196	4
7197	1
7200	1
7206	3
7209	1
7212	2
7213	1
7217	2
7220	1
7226	1
7228	1
7239	1
7254	1
7257	3
7270	1
7271	1
7272	1
7291	3
7294	1
7295	1
7297	1
7310	1
7314	1
7330	1
7338	4
7348	1
7356	2
7359	1
7361	2
7367	1
7368	3
7369	4
7372	1
7376	1
7385	2
7405	1
7407	1
7427	1
7428	1
7432	2
7447	1
7460	1
7462	2
7464	3
7488	1
7496	2
7498	1
7502	1
7503	1
7507	2
7508	2
7510	1
7511	1
7512	1
7518	1
7519	1
7523	1
7528	1
7542	1
7545	1
7546	1
7550	1
7557	2
7567	1
7568	1
7582	1
7583	1
7592	2
7598	2
7600	1
7603	3
7605	1
7607	4
7611	3
7619	1
7627	1
7635	1
7643	1
7651	1
7656	1
7664	1
7667	2
7670	1
7672	2
7673	1
7674	1
7681	1
7695	1
7704	1
7705	1
7706	1
7709	2
7716	3
7719	2
7721	3
7722	1
7723	1
7730	2
7735	1
7736	1
7740	1
7744	1
7746	1
7749	3
7751	1
7752	1
7781	1
7785	3
7789	3
7790	2
7794	3
7802	1
7804	1
7805	1
7806	1
7807	1
7808	2
7810	2
7814	1
7815	1
7817	2
7819	1
7822	1
7825	3
7826	1
7827	1
7831	1
7835	4
7836	2
7838	1
7841	2
7843	1
7844	1
7845	1
7846	3
7856	2
7859	2
7861	1
7866	1
7882	1
7883	1
7886	2
7887	2
7892	1
7893	2
7903	1
7905	2
7916	2
7917	1
7924	1
7927	1
7928	6
7930	1
7934	2
7935	2
7937	1
7939	1
7945	1
7946	1
7950	1
7951	1
7952	1
7954	1
7955	1
7966	1
7983	3
7994	1
7997	1
8011	3
8012	1
8015	2
8020	8
8023	1
8024	1
8025	3
8028	1
8036	1
8042	1
8055	1
8058	1
8061	1
8062	2
8063	1
8081	2
8083	1
8084	3
8085	1
8097	1
8099	1
8100	2
8101	1
8102	1
8105	1
8106	2
8108	1
8113	1
8115	1
8116	1
8117	1
8119	2
8120	1
8139	1
8144	1
8154	1
8155	1
8161	1
8162	2
8164	1
8173	3
8179	2
8196	2
8203	1
8204	1
8211	3
8212	3
8216	1
8217	2
8218	2
8219	1
8220	1
8235	3
8247	1
8260	2
8266	1
8284	1
8315	2
8318	1
8320	2
8321	1
8328	1
8331	1
8333	1
8344	2
8363	1
8392	2
8395	1
8398	1
8418	1
8433	1
8436	1
8438	2
8457	1
8473	1
8480	1
8482	1
8487	1
8500	1
8504	1
8509	1
8510	1
8511	1
8518	1
8520	1
8531	1
8532	3
8533	1
8536	1
8539	1
8542	2
8543	1
8545	1
8546	1
8547	1
8552	3
8555	1
8562	1
8570	1
8572	1
8588	2
8596	1
8600	2
8605	2
8612	1
8617	1
8618	1
8626	1
8633	1
8636	1
8638	1
8640	2
8641	3
8648	1
8656	1
8659	1
8670	2
8676	1
8680	1
8688	1
8723	1
8724	1
8733	1
8764	1
8770	1
8780	1
8782	2
8783	1
8787	1
8789	2
8790	1
8794	1
8796	1
8797	2
8798	2
8801	2
8806	1
8841	1
8842	1
8846	1
8852	1
8861	1
8874	2
8879	1
8880	1
8886	1
8897	1
8904	2
8907	3
8911	3
8912	1
8913	2
8914	1
8917	1
8918	1
8923	1
8925	1
8927	1
8929	1
8930	1
8931	3
8932	2
8936	1
8938	1
8944	2
8956	2
8957	3
8964	3
8965	1
8976	3
8982	1
8997	1
9005	2
9009	2
9011	1
9018	1
9019	2
9029	2
9036	1
9077	1
9091	3
9094	1
9097	1
9106	2
9109	1
9120	1
9122	1
9123	2
9128	1
9135	2
9138	1
9147	5
9148	1
9151	2
9156	1
9158	1
9176	1
9177	2
9180	1
9196	1
9200	1
9203	2
9217	3
9220	1
9222	1
9229	4
9233	2
9238	2
9239	1
9240	1
9256	1
9263	1
9265	4
9266	2
9267	1
9268	2
9281	1
9288	11
9301	1
9336	1
9338	2
9341	2
9349	1
9363	1
9365	1
9367	2
9407	1
9415	1
9426	1
9439	1
9447	1
9451	2
9459	2
9461	1
9462	1
9476	3
9478	1
9488	1
9495	1
9513	1
9517	1
9523	2
9528	1
9548	1
9551	2
9558	1
9560	2
9571	1
9580	2
9581	1
9583	4
9590	1
9593	1
9601	1
9603	1
9607	1
9627	1
9632	2
9635	1
9637	2
9646	1
9651	1
9653	1
9663	1
9665	1
9683	1
9691	1
9693	1
9697	1
9737	1
9742	1
9749	1
9780	1
9796	1
9810	1
9812	1
9814	1
9817	1
9832	1
9842	1
9850	1
9853	1
9861	1
9862	1
9863	2
9864	1
9879	2
9889	1
9905	3
9913	1
9922	1
9927	3
9928	1
9929	1
9947	1
9950	1
9951	3
9959	1
9960	2
9961	1
9965	1
9987	1
9992	1
10005	2
10011	3
10026	2
10049	1
10065	1
10066	1
10123	1
10128	2
10129	1
10142	1
10143	2
10144	1
10152	1
10156	6
10157	1
10159	2
10183	2
10185	1
10186	1
10191	1
10208	1
10209	1
10216	1
10217	3
10223	1
10229	1
10233	3
10235	1
10245	1
10248	4
10249	1
10251	1
10256	1
10261	7
10268	1
10276	1
10285	2
10286	1
10292	1
10321	1
10323	3
10334	3
10345	1
10348	1
10352	1
10357	3
10358	3
10373	1
10389	2
10394	2
10395	1
10410	1
10419	1
10442	1
10445	1
10448	1
10449	1
10451	1
10454	1
10458	1
10471	1
10477	1
10503	1
10527	1
10530	1
10537	1
10538	1
10542	1
10543	1
10544	1
10549	1
10553	1
10554	1
10559	1
10562	1
10585	1
10592	1
10594	1
10595	1
10599	1
10601	1
10635	2
10638	1
10640	1
10641	1
10642	1
10645	1
10651	1
10655	1
10657	1
10658	1
10672	1
10682	1
10689	1
10695	1
10697	1
10703	1
10717	1
10721	1
10722	2
10730	4
10746	2
10747	12
10748	2
10752	3
10763	2
10773	1
10785	1
10787	1
10792	1
10794	1
10821	2
10822	4
10823	1
10826	4
10828	1
10830	1
10835	2
10836	1
10838	3
10843	1
10851	2
10853	4
10854	1
10857	1
10865	1
10871	1
10884	2
10893	1
10901	3
10905	1
10950	1
10958	5
10959	1
10960	1
10975	1
10993	2
11006	1
11011	1
11015	2
11019	1
11031	2
11032	1
11036	1
11042	1
11052	1
11054	2
11056	1
11079	1
11088	1
11094	1
11097	1
11103	3
11104	1
11105	1
11108	3
11112	3
11118	1
11119	1
11127	1
11129	2
11130	1
11132	1
11133	4
11136	5
11147	1
11153	1
11159	1
11160	1
11161	1
11162	2
11166	1
11168	2
11172	1
11176	1
11178	2
11179	1
11181	2
11185	1
11191	2
11197	2
11201	2
11203	1
4	2
6	1
7	1
11	1
15	2
25	3
28	2
29	1
52	2
73	1
75	1
79	1
81	2
84	1
88	1
93	1
100	1
102	1
117	1
122	2
124	1
142	1
148	1
178	2
202	1
218	1
222	1
230	2
231	2
262	1
267	1
276	1
279	1
286	1
305	1
312	2
316	1
319	1
326	2
334	2
341	1
344	1
361	1
370	1
387	1
390	1
395	1
396	2
408	1
434	1
441	1
458	1
484	1
490	1
514	7
516	1
522	1
528	1
529	1
535	1
551	1
557	1
565	1
568	1
580	1
584	2
586	1
590	1
598	3
599	1
600	3
602	1
608	3
612	1
616	2
617	2
623	3
626	2
627	1
634	1
635	1
640	1
641	1
643	1
650	2
651	1
655	1
657	2
659	3
667	1
670	1
678	3
679	1
681	2
684	2
691	1
694	3
697	1
699	1
714	1
726	2
736	3
740	1
743	1
751	2
754	1
756	1
765	1
771	2
772	2
773	1
778	3
786	2
794	1
795	3
827	1
836	1
842	1
853	1
873	1
887	2
888	1
891	2
914	1
922	1
963	3
969	1
976	1
979	1
988	1
989	1
991	1
992	3
994	1
997	1
1001	4
1002	1
1003	1
1005	2
1007	1
1009	2
1012	1
1013	2
1014	1
1016	1
1017	2
1019	1
1020	2
1023	4
1027	2
1029	1
1032	3
1038	1
1040	6
1042	1
1043	3
1044	5
1045	1
1047	1
1048	2
1049	3
1052	1
1053	1
1057	2
1059	3
1081	1
1082	1
1083	1
1098	2
1112	1
1117	2
1124	1
1127	1
1129	3
1131	1
1135	1
1143	1
1147	1
1167	1
1170	1
1175	2
1182	1
1202	3
1208	1
1212	1
1215	1
1243	1
1244	1
1254	2
1257	1
1261	2
1264	1
1302	2
1305	1
1319	2
1321	2
1328	1
1331	1
1344	1
1345	1
1347	1
1350	1
1355	1
1376	1
1379	1
1392	2
1396	2
1410	2
1413	1
1417	1
1419	1
1464	1
1467	1
1482	2
1484	1
1507	1
1508	1
1516	2
1519	1
1549	1
1560	1
1570	1
1574	1
1577	2
1578	1
1598	2
1600	1
1601	1
1619	1
1639	1
1642	2
1655	1
1705	1
1710	2
1716	2
1731	1
1741	2
1746	2
1752	2
1753	1
1756	1
1766	1
1773	1
1775	3
1777	1
1779	2
1782	1
1784	1
1787	1
1789	1
1790	1
1817	1
1818	1
1820	1
1821	2
1826	1
1827	1
1828	1
1841	2
1842	1
1843	2
1845	1
1853	1
1856	1
1862	3
1869	1
1870	1
1876	3
1881	1
1886	1
1889	1
1894	1
1898	1
1900	1
1906	2
1907	1
1908	2
1911	1
1932	2
1937	2
1939	1
1943	1
1946	1
1947	6
1953	2
1960	1
1963	1
1973	3
1976	1
1981	1
1982	2
1986	1
1987	2
2002	2
2009	1
2035	1
2036	1
2038	1
2041	1
2047	2
2056	2
2062	1
2071	1
2079	2
2088	1
2089	2
2112	1
2116	1
2119	1
2120	1
2136	1
2143	1
2161	1
2163	2
2164	1
2165	2
2174	1
2183	1
2208	1
2214	1
2259	1
2271	1
2273	2
2278	2
2300	1
2311	1
2327	2
2351	1
2353	1
2358	2
2363	1
2368	1
2386	2
2387	2
2390	1
2391	1
2392	1
2397	2
2406	1
2421	1
2422	1
2426	1
2428	1
2429	3
2432	1
2456	1
2460	2
2467	1
2469	1
2477	1
2480	1
2483	2
2488	1
2493	1
2511	1
2516	1
2525	1
2541	2
2544	1
2552	1
2556	2
2564	1
2570	2
2574	2
2575	1
2578	1
2580	2
2585	2
2588	3
2589	1
2590	2
2591	1
2600	1
2614	2
2622	3
2629	2
2637	1
2638	1
2639	1
2640	1
2647	1
2651	1
2652	2
2672	1
2675	1
2681	2
2684	1
2692	1
2699	2
2738	1
2741	1
2746	1
2747	1
2749	1
2754	1
2767	1
2774	1
2799	1
2802	3
2811	2
2813	1
2815	1
2819	1
2824	1
2825	1
2827	1
2830	2
2834	2
2835	2
2836	1
2838	1
2851	1
2862	1
2868	1
2877	1
2880	1
2884	1
2887	1
2959	2
2972	1
2974	1
2976	1
2977	1
2984	1
2986	1
2988	2
2991	1
2995	1
2999	1
3000	1
3014	1
3016	1
3018	1
3019	1
3029	1
3030	3
3036	1
3046	2
3050	2
3052	1
3054	1
3055	1
3057	1
3065	1
3066	1
3074	1
3075	1
3102	1
3104	1
3121	1
3129	1
3133	1
3134	1
3144	1
3150	1
3154	1
3167	3
3173	1
3175	2
3185	1
3191	1
3192	1
3202	2
3209	1
3210	2
3211	2
3225	1
3234	1
3235	1
3236	1
3238	1
3239	1
3250	1
3252	1
3255	1
3262	1
3278	1
3291	1
3296	1
3297	2
3303	1
3305	1
3310	1
3312	1
3326	1
3329	1
3343	6
3349	1
3369	1
3375	1
3384	1
3390	1
3423	1
3424	1
3425	1
3427	1
3432	2
3433	1
3434	1
3435	2
3438	1
3440	1
3442	1
3450	1
3459	2
3462	1
3463	5
3464	1
3467	1
3470	3
3479	2
3495	2
3498	2
3500	1
3511	1
3514	1
3517	2
3531	1
3537	1
3540	1
3548	1
3549	3
3553	1
3564	1
3566	1
3580	1
3581	1
3583	1
3596	1
3597	1
3598	1
3599	1
3608	1
3618	1
3621	1
3635	2
3643	1
3645	1
3653	1
3654	1
3657	3
3661	1
3663	1
3665	2
3666	5
3675	1
3683	2
3712	1
3719	1
3731	1
3741	1
3744	1
3754	1
3756	2
3768	1
3772	1
3773	1
3780	1
3809	1
3847	1
3850	1
3854	3
3858	2
3861	1
3863	1
3867	1
3869	1
3872	2
3880	1
3892	1
3901	1
3913	1
3947	1
3954	1
3972	2
3976	1
3980	1
3984	1
3990	2
3991	1
3993	1
3999	4
4018	1
4035	1
4046	1
4052	1
4073	1
4081	2
4082	1
4091	1
4101	1
4106	1
4107	1
4143	2
4148	2
4152	1
4162	1
4172	1
4187	1
4194	1
4196	2
4197	1
4211	4
4212	1
4213	1
4218	1
4224	1
4226	1
4233	2
4234	1
4238	3
4246	1
4251	1
4255	1
4257	2
4273	2
4280	2
4285	1
4294	1
4295	1
4310	1
4311	1
4325	2
4326	1
4327	1
4328	6
4332	3
4338	1
4348	1
4352	1
4356	1
4365	1
4373	1
4391	1
4393	2
4405	1
4410	1
4422	2
4439	1
4440	2
4443	2
4444	1
4447	1
4463	1
4465	2
4481	1
4495	1
4499	3
4503	1
4514	1
4516	2
4548	1
4556	1
4570	2
4574	1
4580	2
4582	1
4592	1
4597	2
4598	3
4600	2
4612	2
4614	1
4621	1
